Year,Plot,Type,Hits,Prop
2009,1,grass,23,0.023
2009,1,shrub,158,0.158
2009,2,grass,24,0.024
2009,2,shrub,282,0.282
2009,3,grass,9,0.009
2009,3,shrub,65,0.065
2009,4,grass,23,0.023
2009,4,shrub,18,0.018
2009,5,grass,16,0.016
2009,5,shrub,58,0.058
2009,6,grass,9,0.009
2009,6,shrub,210,0.21
2009,7,grass,31,0.031
2009,7,shrub,238,0.238
2009,8,grass,12,0.012
2009,8,shrub,162,0.162
2009,9,grass,32,0.032
2009,9,shrub,81,0.081
2009,10,grass,4,0.004
2009,10,shrub,47,0.047
2009,11,grass,21,0.021
2009,11,shrub,167,0.167
2009,12,grass,25,0.025
2009,12,shrub,267,0.267
2009,13,grass,12,0.012
2009,13,shrub,227,0.227
2009,14,grass,11,0.011
2009,14,shrub,259,0.259
2009,15,grass,21,0.021
2009,15,shrub,144,0.144
2009,16,grass,12,0.012
2009,16,shrub,128,0.128
2009,17,grass,7,0.007
2009,17,shrub,188,0.188
2009,18,grass,12,0.012
2009,18,shrub,164,0.164
2009,19,grass,29,0.029
2009,19,shrub,120,0.12
2009,20,grass,8,0.008
2009,20,shrub,217,0.217
2009,21,grass,7,0.007
2009,21,shrub,87,0.087
2009,22,grass,30,0.03
2009,22,shrub,155,0.155
2009,23,grass,32,0.032
2009,23,shrub,110,0.11
2009,24,grass,38,0.038
2009,24,shrub,171,0.171
2004,1,grass,68,0.068
2004,1,shrub,108,0.108
2004,2,grass,11,0.011
2004,2,shrub,168,0.168
2004,3,grass,9,0.009
2004,3,shrub,66,0.066
2004,4,grass,27,0.027
2004,4,shrub,61,0.061
2004,5,grass,15,0.015
2004,5,shrub,36,0.036
2004,6,grass,45,0.045
2004,6,shrub,160,0.16
2004,7,grass,3,0.003
2004,7,shrub,225,0.225
2004,8,grass,35,0.035
2004,8,shrub,122,0.122
2004,9,grass,59,0.059
2004,9,shrub,102,0.102
2004,10,grass,0,0
2004,10,shrub,69,0.069
2004,11,grass,35,0.035
2004,11,shrub,206,0.206
2004,12,grass,48,0.048
2004,12,shrub,241,0.241
2004,13,grass,14,0.014
2004,13,shrub,161,0.161
2004,14,grass,75,0.075
2004,14,shrub,119,0.119
2004,15,grass,45,0.045
2004,15,shrub,139,0.139
2004,16,grass,22,0.022
2004,16,shrub,121,0.121
2004,17,grass,57,0.057
2004,17,shrub,94,0.094
2004,18,grass,123,0.123
2004,18,shrub,120,0.12
2004,19,grass,9,0.009
2004,19,shrub,152,0.152
2004,20,grass,13,0.013
2004,20,shrub,198,0.198
2004,21,grass,8,0.008
2004,21,shrub,108,0.108
2004,22,grass,22,0.022
2004,22,shrub,47,0.047
2004,23,grass,15,0.015
2004,23,shrub,72,0.072
2004,24,grass,34,0.034
2004,24,shrub,133,0.133
